Product_ID,Product_Name,Category,Subcategory,Estimated_Total_Units_Sold_in_2025,Estimated_Revenue_in_2025_USD,Price_Range_USD,Trend_Score,Trend_Source,Notes,Price_Min,Price_Max,Price_Avg,Price_Range_Width,Price_Category,Revenue_Per_Unit,Success_Score
PROD-2025-0001,Loaded Tea At-Home Beverage Pack,Food & Beverage,Beverages,1651289,4953867.0,$3.0-$4,99.6,TikTok Shop Viral,Verified top seller in 2025 ecommerce reports.,3.0,4.0,3.5,1.0,Budget,3.0,0.7965940507908011
PROD-2025-0002,Protein Coffee On-The-Go Energy Drink,Food & Beverage,Beverages,1466551,4399653.0,$3.0-$4,96.9,TikTok Shop Viral,Verified top seller in 2025 ecommerce reports.,3.0,4.0,3.5,1.0,Budget,3.0,0.7496888335605096
PROD-2025-0003,Whitening Strips 7-Day Treatment,Beauty & Skincare,Personal Care,953072,10483792.0,$11.0-$16,95.7,TikTok Shop Viral,Verified top seller in 2025 ecommerce reports.,11.0,16.0,13.5,5.0,Budget,11.0,0.6508390812724427
PROD-2025-0004,5-1 Full Body Shaver,Beauty & Skincare,Personal Care Gadgets,509346,22920570.0,$45.0-$68,97.5,Shopify Trending List,Verified top seller in 2025 ecommerce reports.,45.0,68.0,56.5,23.0,Premium,45.0,0.5796024032704702
PROD-2025-0005,Newborn Training Pants Baby Shorts,Baby,Organic Baby Clothing,835510,12532650.0,$15.0-$22,95.2,Shopify Trending List,Verified top seller in 2025 ecommerce reports.,15.0,22.0,18.5,7.0,Budget,15.0,0.6270809527443242
PROD-2025-0006,Vintage Crochet Set,Fashion,Womenswear,194058,6792030.0,$35.0-$52,95.9,Shopify Trending List,Verified top seller in 2025 ecommerce reports.,35.0,52.0,43.5,17.0,Mid-Range,35.0,0.5145905046350828
PROD-2025-0007,Kids Sonic Clean Auto-Toothbrush,Baby,Baby Safety Gear,251080,6277000.0,$25.0-$38,95.6,Shopify Trending List,Verified top seller in 2025 ecommerce reports.,25.0,38.0,31.5,13.0,Mid-Range,25.0,0.5234014980252121
PROD-2025-0008,Automated Toilet Bowl Cleaner,Home & Garden,Eco-friendly Cleaning,341482,4097784.0,$12.0-$18,95.5,Shopify Trending List,Verified top seller in 2025 ecommerce reports.,12.0,18.0,15.0,6.0,Budget,12.0,0.539248424202029
PROD-2025-0009,Quick Release Belt,Fashion,Accessories,554123,11082460.0,$20.0-$30,97.4,Shopify Trending List,Verified top seller in 2025 ecommerce reports.,20.0,30.0,25.0,10.0,Mid-Range,20.0,0.5871991966314505
PROD-2025-0010,Healing Tool Tuning Fork Set,Fitness,Recovery Tools,129966,7148130.0,$55.0-$82,98.3,Shopify Trending List,Verified top seller in 2025 ecommerce reports.,55.0,82.0,68.5,27.0,Premium,55.0,0.515001079705053
PROD-2025-0011,Rotator Burn Machine,Fitness,Home Gym Equipment,554994,47174490.0,$85.0-$128,96.7,Shopify Trending List,Verified top seller in 2025 ecommerce reports.,85.0,128.0,106.5,43.0,Luxury,85.0,0.5838566950573704
PROD-2025-0012,Electric Cordless Rotary Tool Kit,Home & Garden,Kitchen Gadgets,157359,6294360.0,$40.0-$60,97.4,Shopify Trending List,Verified top seller in 2025 ecommerce reports.,40.0,60.0,50.0,20.0,Mid-Range,40.0,0.5154544142414742
PROD-2025-0013,Portable Air Cooling Fan,Electronics,Portable Audio,451274,13538220.0,$30.0-$45,95.3,Shopify Trending List,Verified top seller in 2025 ecommerce reports.,30.0,45.0,37.5,15.0,Mid-Range,30.0,0.5581015438100587
PROD-2025-0014,Labubu Collectible Art Toy,Fashion,Accessories,1951773,48794325.0,$25.0-$38,97.9,TikTok Shop Viral,Verified top seller in 2025 ecommerce reports.,25.0,38.0,31.5,13.0,Mid-Range,25.0,0.8424290186600374
PROD-2025-0015,Korean Glass Skin Serum,Beauty & Skincare,Korean Skincare,2489696,44814528.0,$18.0-$27,97.7,TikTok Shop Viral,Verified top seller in 2025 ecommerce reports.,18.0,27.0,22.5,9.0,Mid-Range,18.0,0.9386988530642757
PROD-2025-0016,Heatless Hair Curler Set,Beauty & Skincare,Hair Care Tools,2765107,33181284.0,$12.0-$18,98.6,TikTok Shop Viral,Verified top seller in 2025 ecommerce reports.,12.0,18.0,15.0,6.0,Budget,12.0,0.993
PROD-2025-0017,Linen Breathable Bedsheet Set,Home & Garden,Home Office Decor,363291,23613915.0,$65.0-$98,98.9,Amazon Best Sellers,Verified top seller in 2025 ecommerce reports.,65.0,98.0,81.5,33.0,Premium,65.0,0.5601920328942063
PROD-2025-0018,Smart Pet Feeder with Camera,Pet,Smart Pet Feeders,695025,83403000.0,$120.0-$180,99.3,Amazon Best Sellers,Verified top seller in 2025 ecommerce reports.,120.0,180.0,150.0,60.0,Luxury,120.0,0.6221777766647005
PROD-2025-0019,Biodegradable Bamboo Toothbrush 10-Pack,Eco-Friendly,Zero-waste Kits,412771,6191565.0,$15.0-$22,96.6,Google Trends Breakout,Verified top seller in 2025 ecommerce reports.,15.0,22.0,18.5,7.0,Budget,15.0,0.5576392454252223
PROD-2025-0020,Digital Planner 2025 Pro Edition,Digital Goods,Digital Planners,268352,5098688.0,$19.0-$28,95.7,Instagram Shop Popular,Verified top seller in 2025 ecommerce reports.,19.0,28.0,23.5,9.0,Mid-Range,19.0,0.527024704468941
PROD-2025-0021,Pro Activewear Mat,Fitness,Activewear,75967,9647809.0,$116-$138,86.3,Shopify Trending List,Trending based on category growth and social media signals.,116.0,138.0,127.0,22.0,Luxury,127.0,0.4452367197725079
PROD-2025-0022,Smart Smart Home Devices Watch,Electronics,Smart Home Devices,29164,3718410.0,$95-$160,76.2,Instagram Shop Popular,Trending based on category growth and social media signals.,95.0,160.0,127.5,65.0,Luxury,127.5,0.3862735753082973
PROD-2025-0023,Eco Eco-friendly Cleaning Blender,Home & Garden,Eco-friendly Cleaning,31900,3285700.0,$79-$127,79.8,Amazon Best Sellers,Trending based on category growth and social media signals.,79.0,127.0,103.0,48.0,Luxury,103.0,0.4047683120400042
PROD-2025-0024,Sustainable Yoga Gear Scale,Fitness,Yoga Gear,49152,1253376.0,$12-$39,82.9,Shopify Trending List,Trending based on category growth and social media signals.,12.0,39.0,25.5,27.0,Mid-Range,25.5,0.4233879019871564
PROD-2025-0025,Wireless Smart Fitness Trackers Roller,Fitness,Smart Fitness Trackers,19631,1187675.5,$29-$92,83.7,Shopify Trending List,Trending based on category growth and social media signals.,29.0,92.0,60.5,63.0,Premium,60.5,0.42204977221496315
PROD-2025-0026,Sustainable Interactive Pet Toys Shampoo,Pet,Interactive Pet Toys,282199,29066497.0,$87-$119,90.7,Instagram Shop Popular,Trending based on category growth and social media signals.,87.0,119.0,103.0,32.0,Luxury,103.0,0.504528585873892
PROD-2025-0027,Sustainable Kitchen Gadgets Blender,Home & Garden,Kitchen Gadgets,177772,23732562.0,$110-$157,92.2,Google Trends Breakout,Trending based on category growth and social media signals.,110.0,157.0,133.5,47.0,Luxury,133.5,0.4931455914725904
PROD-2025-0028,Portable Solar Powered Gadgets Utensils,Eco-Friendly,Solar Powered Gadgets,81687,10415092.5,$101-$154,80.6,Shopify Trending List,Trending based on category growth and social media signals.,101.0,154.0,127.5,53.0,Luxury,127.5,0.41777103779347413
PROD-2025-0029,Smart Smart Home Devices Speaker,Electronics,Smart Home Devices,16198,2470195.0,$141-$164,82.9,Amazon Best Sellers,Trending based on category growth and social media signals.,141.0,164.0,152.5,23.0,Luxury,152.5,0.41742900057755455
PROD-2025-0030,Pro Pet Apparel Bowl,Pet,Pet Apparel,37403,1963657.5,$37-$68,83.6,Instagram Shop Popular,Trending based on category growth and social media signals.,37.0,68.0,52.5,31.0,Premium,52.5,0.4247633910731122
PROD-2025-0031,Flex Stock Media Bundle,Digital Goods,Stock Media,61941,8578828.5,$115-$162,86.3,Amazon Best Sellers,Trending based on category growth and social media signals.,115.0,162.0,138.5,47.0,Luxury,138.5,0.4427004707231944
PROD-2025-0032,Smart Organic Baby Clothing Bib,Baby,Organic Baby Clothing,98315,15287982.5,$116-$195,75.4,Google Trends Breakout,Trending based on category growth and social media signals.,116.0,195.0,155.5,79.0,Luxury,155.5,0.39477779304743
PROD-2025-0033,Ultra Phone Accessories Hub,Electronics,Phone Accessories,47671,4933948.5,$81-$126,75.7,Shopify Trending List,Trending based on category growth and social media signals.,81.0,126.0,103.5,45.0,Luxury,103.5,0.38712010041564393
PROD-2025-0034,Swift Wearable Tech Watch,Electronics,Wearable Tech,44064,3767472.0,$46-$125,82.5,Shopify Trending List,Trending based on category growth and social media signals.,46.0,125.0,85.5,79.0,Premium,85.5,0.4204678652580171
PROD-2025-0035,Eco Portable Audio Adapter,Electronics,Portable Audio,29256,4008072.0,$103-$171,74.6,Amazon Best Sellers,Trending based on category growth and social media signals.,103.0,171.0,137.0,68.0,Luxury,137.0,0.3782902111925506
PROD-2025-0036,Smart Recovery Tools Mat,Fitness,Recovery Tools,404116,55363892.0,$95-$179,91.1,Google Trends Breakout,Trending based on category growth and social media signals.,95.0,179.0,137.0,84.0,Luxury,137.0,0.5285742065316098
PROD-2025-0037,Aura Recovery Tools Mat,Fitness,Recovery Tools,97895,12677402.5,$125-$134,81.2,Amazon Best Sellers,Trending based on category growth and social media signals.,125.0,134.0,129.5,9.0,Luxury,129.5,0.4237018466193171
PROD-2025-0038,Portable Personal Care Gadgets Brush,Beauty & Skincare,Personal Care Gadgets,60497,5686718.0,$66-$122,70.8,Google Trends Breakout,Trending based on category growth and social media signals.,66.0,122.0,94.0,56.0,Premium,94.0,0.3649393596703491
